position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1828,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.1201,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.2467,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.1068,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.174,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.141,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.1989,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1661,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.3722,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0492,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.4418,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0791,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.3739,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0249,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.4398,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0417,"(5, 8)"
