position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1264,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0594,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.1459,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.0726,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.1228,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1012,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.148,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1247,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.2829,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0399,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.3361,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0561,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.2772,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0214,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.324,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0385,"(5, 8)"
