position,player,heuristic,mm_time_sum,ab_time_sum,time_delta,speedup,mm_nodes_sum,ab_nodes_sum,nodes_delta,nodes_reduction_pct
center,BLACK,h1,0.1828,0.1201,0.0627,1.52,1637,776,861,52.6
center,BLACK,h2,0.2467,0.1068,0.1399,2.31,1637,796,841,51.4
center,WHITE,h1,0.174,0.141,0.033,1.23,1635,1324,311,19.0
center,WHITE,h2,0.1989,0.1661,0.0328,1.2,1635,1391,244,14.9
open_three,BLACK,h1,0.3722,0.0492,0.323,7.57,3486,454,3032,87.0
open_three,BLACK,h2,0.4418,0.0791,0.3627,5.59,3486,570,2916,83.6
open_three,WHITE,h1,0.3739,0.0249,0.349,15.02,3486,248,3238,92.9
open_three,WHITE,h2,0.4398,0.0417,0.3981,10.55,3486,364,3122,89.6
