position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.219,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.1086,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.336,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.1392,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.2251,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1934,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.2611,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.2001,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.487,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0612,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.5794,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.1151,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.6142,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0457,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.5394,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0687,"(5, 8)"
