position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.2425,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0786,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.1985,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.108,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.1813,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1349,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.2112,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1735,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.3874,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.05,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.4395,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0749,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.4207,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0389,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.5398,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0669,"(5, 8)"
