position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1305,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0609,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.1548,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.0771,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.1286,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1109,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.241,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.158,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.3408,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0462,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.3526,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0588,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.2956,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0223,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.3584,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0359,"(5, 8)"
