position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1319,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0611,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.154,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.0746,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.1342,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1493,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.1593,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1316,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.293,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0403,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.3446,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0597,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.2884,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0246,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.348,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.039,"(5, 8)"
