position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1219,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0575,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.1459,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.0707,"(11, 9)"
center,BLACK,minimax_h1,3,85458,0,6.8538,"(10, 11)"
center,BLACK,alphabeta_h1,3,34161,715,2.7133,"(10, 11)"
center,WHITE,minimax_h1,2,1635,0,0.1197,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.0977,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.145,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1223,"(11, 9)"
center,WHITE,minimax_h1,3,85361,0,6.7369,"(11, 9)"
center,WHITE,alphabeta_h1,3,36623,1083,2.9179,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.2774,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0397,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.3247,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.0555,"(5, 8)"
open_three,BLACK,minimax_h1,3,241624,0,24.1324,"(5, 4)"
open_three,BLACK,alphabeta_h1,3,10958,321,0.9104,"(5, 4)"
open_three,WHITE,minimax_h1,2,3486,0,0.2716,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0217,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.3217,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0352,"(5, 8)"
open_three,WHITE,minimax_h1,3,241620,0,22.9961,"(5, 4)"
open_three,WHITE,alphabeta_h1,3,8044,233,0.7461,"(5, 4)"
