position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.2061,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.1025,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.2431,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.1466,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.2203,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.2676,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.2967,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.2637,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.9319,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.2226,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,1.3268,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.1308,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.4716,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0409,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.6326,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.054,"(5, 8)"
