position,player,mode,depth,nodes,pruned,time_s,move
center,BLACK,minimax_h1,2,1637,0,0.1729,"(11, 9)"
center,BLACK,alphabeta_h1,2,776,31,0.0806,"(11, 9)"
center,BLACK,minimax_h2,2,1637,0,0.2244,"(11, 9)"
center,BLACK,alphabeta_h2,2,796,30,0.137,"(11, 9)"
center,WHITE,minimax_h1,2,1635,0,0.2016,"(11, 9)"
center,WHITE,alphabeta_h1,2,1324,33,0.1564,"(11, 9)"
center,WHITE,minimax_h2,2,1635,0,0.5834,"(11, 9)"
center,WHITE,alphabeta_h2,2,1391,31,0.1802,"(11, 9)"
open_three,BLACK,minimax_h1,2,3486,0,0.4268,"(5, 4)"
open_three,BLACK,alphabeta_h1,2,454,53,0.0579,"(5, 4)"
open_three,BLACK,minimax_h2,2,3486,0,0.472,"(5, 8)"
open_three,BLACK,alphabeta_h2,2,570,51,0.075,"(5, 8)"
open_three,WHITE,minimax_h1,2,3486,0,0.3732,"(5, 4)"
open_three,WHITE,alphabeta_h1,2,248,53,0.0407,"(5, 4)"
open_three,WHITE,minimax_h2,2,3486,0,0.5699,"(5, 8)"
open_three,WHITE,alphabeta_h2,2,364,51,0.0618,"(5, 8)"
